resource_id,project_id,resource_type,resource_name,allocated_quantity,used_quantity,cost_per_unit,total_cost,date,efficiency_score
RES_0039,PROJ_016,Labor,Electrician,9,6.91,305,2107.81,2024-07-13,0.89
RES_0040,PROJ_018,Equipment,Excavator,4,3.53,939,3310.15,2024-05-31,0.91
RES_0041,PROJ_001,Equipment,Mixer,4,3.23,660,2134.13,2024-04-24,0.98
RES_0042,PROJ_006,Labor,Supervisor,6,5.67,405,2297.24,2024-03-19,0.82
RES_0043,PROJ_018,Materials,Electrical,42,42.46,54,2293.04,2024-04-16,1.0
RES_0044,PROJ_017,Materials,Electrical,72,61.72,75,4628.86,2024-06-04,0.97
RES_0045,PROJ_013,Equipment,Crane,3,2.26,304,687.23,2024-05-28,0.81
RES_0046,PROJ_006,Equipment,Pump,2,2.13,844,1798.17,2024-02-05,0.95
RES_0047,PROJ_005,Labor,Engineer,18,14.34,232,3325.91,2024-03-20,0.83
RES_0048,PROJ_019,Equipment,Pump,2,2.1,971,2041.6,2024-07-27,0.81
RES_0049,PROJ_008,Materials,Steel,43,38.29,299,11448.96,2024-05-20,0.9
RES_0050,PROJ_012,Equipment,Generator,1,0.74,435,319.88,2024-04-27,0.92
RES_0051,PROJ_015,Materials,Electrical,23,22.58,134,3025.39,2024-06-11,0.98
RES_0052,PROJ_002,Labor,Engineer,19,16.28,247,4021.42,2024-02-21,0.98
RES_0053,PROJ_020,Equipment,Generator,4,4.26,680,2894.59,2024-07-07,0.92
RES_0054,PROJ_019,Equipment,Pump,4,3.53,996,3520.82,2024-07-12,0.9
RES_0055,PROJ_020,Equipment,Crane,1,0.84,973,816.31,2024-07-20,0.85
RES_0056,PROJ_019,Materials,Concrete,64,59.77,200,11954.0,2024-09-08,0.83
RES_0057,PROJ_008,Equipment,Bulldozer,3,2.9,394,1143.02,2024-07-06,0.92
RES_0058,PROJ_019,Materials,Electrical,91,73.84,54,3987.4,2024-08-25,0.81
RES_0059,PROJ_006,Equipment,Pump,4,3.13,432,1352.22,2024-02-16,0.83
RES_0060,PROJ_013,Materials,Concrete,56,53.26,75,3994.87,2024-07-02,0.97
RES_0061,PROJ_016,Equipment,Excavator,4,4.09,225,920.23,2024-07-29,0.84
RES_0062,PROJ_024,Labor,Carpenter,15,13.28,177,2349.71,2024-02-21,0.81
RES_0063,PROJ_024,Materials,Lumber,32,28.95,160,4631.92,2024-02-13,0.89
RES_0064,PROJ_003,Materials,Concrete,37,26.2,168,4401.11,2024-03-11,0.97
RES_0065,PROJ_022,Labor,Carpenter,18,15.07,449,6766.01,2024-07-05,0.94
RES_0066,PROJ_003,Equipment,Pump,3,2.8,345,966.36,2024-04-09,0.92
RES_0067,PROJ_008,Equipment,Mixer,2,1.63,794,1291.85,2024-05-23,0.98
RES_0068,PROJ_002,Materials,Lumber,79,74.44,158,11761.91,2024-02-03,0.8
RES_0069,PROJ_021,Labor,Carpenter,5,5.2,261,1357.63,2024-05-15,0.86
RES_0070,PROJ_024,Materials,Concrete,12,10.92,296,3231.63,2024-03-06,0.94
RES_0071,PROJ_024,Materials,Insulation,93,101.16,115,11633.89,2024-01-30,0.8
RES_0072,PROJ_022,Equipment,Generator,2,1.93,703,1360.24,2024-08-06,0.94
RES_0073,PROJ_011,Labor,Supervisor,13,10.17,322,3273.58,2024-04-30,0.86
RES_0074,PROJ_019,Equipment,Mixer,4,2.98,312,930.93,2024-09-23,0.95
RES_0075,PROJ_006,Equipment,Generator,3,2.68,338,904.95,2024-01-16,0.81
RES_0076,PROJ_018,Labor,Plumber,13,10.15,287,2912.76,2024-05-08,0.96
RES_0077,PROJ_001,Materials,Electrical,26,19.41,122,2368.46,2024-04-26,0.89
RES_0078,PROJ_023,Materials,Insulation,58,60.34,144,8688.51,2024-07-12,0.99
RES_0079,PROJ_014,Equipment,Bulldozer,2,1.54,336,519.12,2024-04-02,0.99
RES_0080,PROJ_022,Equipment,Bulldozer,2,2.04,428,872.96,2024-07-15,0.83
RES_0081,PROJ_005,Materials,Lumber,35,37.21,127,4725.69,2024-04-05,0.98
RES_0082,PROJ_025,Labor,Carpenter,7,6.41,437,2801.78,2024-08-21,0.9
RES_0083,PROJ_025,Equipment,Excavator,2,1.83,702,1288.06,2024-08-09,0.91
RES_0084,PROJ_006,Labor,Supervisor,9,8.8,328,2885.54,2024-01-28,0.98
RES_0085,PROJ_001,Labor,Supervisor,7,7.01,306,2144.06,2024-05-08,0.95
RES_0086,PROJ_004,Labor,Engineer,6,6.3,159,1002.37,2024-06-17,0.91
RES_0087,PROJ_015,Equipment,Mixer,3,3.06,895,2735.8,2024-04-26,0.9
RES_0088,PROJ_004,Equipment,Crane,3,2.82,610,1719.06,2024-06-15,0.91
RES_0089,PROJ_011,Materials,Electrical,20,21.67,197,4269.5,2024-05-12,0.85
RES_0090,PROJ_023,Materials,Steel,21,22.36,95,2124.16,2024-07-14,0.82
RES_0091,PROJ_001,Materials,Pipes,85,62.98,220,13854.55,2024-06-18,0.96
RES_0092,PROJ_005,Materials,Steel,40,37.71,290,10935.16,2024-02-27,0.95
RES_0093,PROJ_008,Equipment,Generator,3,2.25,978,2197.93,2024-06-07,0.83
RES_0094,PROJ_004,Labor,Construction Worker,9,8.49,150,1273.26,2024-06-26,0.81
RES_0095,PROJ_009,Labor,Electrician,10,7.46,462,3445.17,2024-04-05,0.97
RES_0096,PROJ_006,Labor,Engineer,18,16.83,496,8346.14,2024-03-12,0.89
RES_0097,PROJ_019,Labor,Construction Worker,7,4.99,329,1643.31,2024-07-28,0.87
RES_0098,PROJ_011,Labor,Engineer,19,18.34,305,5594.58,2024-06-14,1.0
RES_0099,PROJ_009,Equipment,Mixer,2,1.47,829,1217.2,2024-05-11,0.84
RES_0100,PROJ_007,Equipment,Pump,3,2.35,414,973.68,2024-04-15,0.87
RES_0101,PROJ_017,Equipment,Pump,4,3.7,485,1796.32,2024-04-24,0.86
RES_0102,PROJ_019,Materials,Steel,47,47.29,243,11491.15,2024-06-29,0.84
RES_0103,PROJ_023,Materials,Lumber,19,15.36,81,1243.97,2024-06-16,0.88
RES_0104,PROJ_023,Materials,Pipes,59,61.76,81,5002.65,2024-05-21,0.81
RES_0105,PROJ_023,Materials,Lumber,63,52.65,121,6370.61,2024-07-19,0.98
RES_0106,PROJ_015,Labor,Supervisor,15,14.12,245,3459.2,2024-06-06,0.97
RES_0107,PROJ_004,Equipment,Generator,2,1.63,668,1091.86,2024-06-27,0.82
RES_0108,PROJ_010,Materials,Concrete,94,66.8,200,13359.52,2024-05-28,0.92
RES_0109,PROJ_018,Labor,Construction Worker,6,5.02,452,2269.2,2024-03-31,0.87
RES_0110,PROJ_023,Equipment,Pump,2,1.69,455,769.04,2024-07-05,0.86
RES_0111,PROJ_020,Labor,Carpenter,18,18.85,429,8087.92,2024-08-05,0.98
RES_0112,PROJ_017,Labor,Supervisor,15,14.95,358,5352.14,2024-06-11,0.93
RES_0113,PROJ_007,Equipment,Generator,3,2.61,477,1243.08,2024-02-18,0.91
RES_0114,PROJ_013,Labor,Plumber,7,7.46,224,1671.05,2024-07-31,0.96
RES_0115,PROJ_009,Labor,Engineer,6,5.76,166,956.73,2024-05-26,0.84
RES_0116,PROJ_010,Labor,Plumber,7,6.95,176,1223.22,2024-05-21,0.93
RES_0117,PROJ_021,Materials,Steel,26,22.56,222,5007.26,2024-05-15,0.9
RES_0118,PROJ_002,Labor,Supervisor,5,5.04,342,1724.35,2024-01-30,0.88
RES_0119,PROJ_008,Materials,Pipes,68,55.68,162,9020.44,2024-07-10,0.9
RES_0120,PROJ_015,Labor,Carpenter,2,1.62,218,352.27,2024-05-11,0.83
RES_0121,PROJ_020,Materials,Concrete,82,82.69,239,19761.93,2024-08-19,0.82
RES_0122,PROJ_017,Equipment,Excavator,3,2.82,260,732.67,2024-05-01,0.85
RES_0123,PROJ_003,Labor,Plumber,13,14.13,257,3631.93,2024-01-26,0.87
RES_0124,PROJ_012,Materials,Lumber,70,71.12,98,6969.8,2024-04-27,0.89
RES_0125,PROJ_015,Labor,Supervisor,18,17.34,413,7162.76,2024-07-10,0.97
RES_0126,PROJ_025,Labor,Construction Worker,16,15.64,417,6520.35,2024-07-15,0.81
RES_0127,PROJ_010,Materials,Concrete,35,32.45,200,6490.25,2024-05-16,0.81
RES_0128,PROJ_021,Materials,Concrete,57,42.53,164,6974.66,2024-05-12,0.99
RES_0129,PROJ_018,Materials,Insulation,48,42.34,165,6985.9,2024-05-27,0.97
RES_0130,PROJ_017,Labor,Supervisor,14,10.23,257,2629.35,2024-05-13,0.91
RES_0131,PROJ_023,Materials,Pipes,24,24.52,88,2157.6,2024-05-17,0.96
RES_0132,PROJ_025,Equipment,Crane,4,3.48,360,1253.85,2024-08-24,0.8
RES_0133,PROJ_010,Labor,Carpenter,14,12.76,400,5104.82,2024-06-10,0.99
RES_0134,PROJ_007,Labor,Electrician,18,15.49,178,2757.91,2024-03-20,0.92
RES_0135,PROJ_012,Materials,Concrete,39,33.82,59,1995.21,2024-05-24,0.95
RES_0136,PROJ_017,Materials,Electrical,39,40.6,191,7755.37,2024-04-24,0.85
RES_0137,PROJ_025,Equipment,Pump,3,2.56,784,2007.97,2024-09-15,0.82
RES_0138,PROJ_005,Equipment,Pump,2,2.19,579,1265.62,2024-03-10,0.99
RES_0139,PROJ_011,Labor,Plumber,8,8.77,375,3289.4,2024-06-02,0.88
RES_0140,PROJ_022,Equipment,Bulldozer,2,1.58,692,1096.5,2024-08-06,0.84
RES_0141,PROJ_017,Labor,Supervisor,6,4.34,411,1783.26,2024-05-23,0.84
RES_0142,PROJ_009,Materials,Pipes,70,56.29,171,9625.0,2024-04-15,0.95
RES_0143,PROJ_017,Materials,Lumber,22,17.37,279,4846.12,2024-07-04,0.92
RES_0144,PROJ_014,Equipment,Crane,1,0.86,466,399.11,2024-03-27,0.98
RES_0145,PROJ_025,Labor,Electrician,10,8.32,319,2652.87,2024-07-14,0.91
RES_0146,PROJ_002,Materials,Insulation,14,10.07,121,1218.86,2024-01-19,0.82
RES_0147,PROJ_016,Equipment,Mixer,2,1.8,792,1422.52,2024-08-08,0.92
RES_0148,PROJ_003,Labor,Supervisor,2,2.1,386,811.72,2024-02-02,0.97
RES_0149,PROJ_001,Materials,Lumber,50,41.68,97,4042.98,2024-05-26,0.94
RES_0150,PROJ_010,Materials,Lumber,69,52.68,215,11325.66,2024-06-23,0.97
RES_0151,PROJ_019,Materials,Steel,41,34.2,187,6394.64,2024-07-25,0.98
RES_0152,PROJ_018,Labor,Carpenter,13,9.13,226,2064.1,2024-04-11,0.92
RES_0153,PROJ_017,Equipment,Excavator,3,2.55,559,1426.59,2024-06-09,0.91
RES_0154,PROJ_003,Labor,Supervisor,10,10.85,223,2419.99,2024-03-17,0.88
RES_0155,PROJ_015,Labor,Plumber,5,3.85,427,1642.89,2024-06-28,0.86
RES_0156,PROJ_017,Labor,Construction Worker,19,19.92,342,6813.9,2024-06-09,0.94
RES_0157,PROJ_012,Materials,Lumber,85,60.34,229,13816.93,2024-03-12,0.96
RES_0158,PROJ_015,Materials,Lumber,67,46.93,252,11825.75,2024-06-06,0.89
RES_0159,PROJ_004,Equipment,Bulldozer,1,0.77,596,456.21,2024-06-08,0.94
RES_0160,PROJ_020,Labor,Carpenter,12,9.71,233,2262.81,2024-08-27,0.99
RES_0161,PROJ_024,Equipment,Pump,4,4.17,502,2094.23,2024-04-19,0.88
RES_0162,PROJ_025,Equipment,Bulldozer,1,0.83,706,584.78,2024-07-27,0.85
RES_0163,PROJ_003,Equipment,Excavator,4,3.7,991,3667.1,2024-04-03,0.91
RES_0164,PROJ_014,Equipment,Excavator,1,0.76,804,612.22,2024-03-25,0.97
RES_0165,PROJ_020,Materials,Lumber,73,59.69,142,8475.94,2024-07-01,0.98
RES_0166,PROJ_003,Labor,Construction Worker,15,14.09,371,5227.38,2024-04-07,0.89
RES_0167,PROJ_006,Equipment,Mixer,2,1.66,925,1536.18,2024-01-15,0.96
RES_0168,PROJ_011,Equipment,Excavator,1,0.73,271,197.55,2024-06-07,0.88
RES_0169,PROJ_015,Materials,Insulation,20,19.56,81,1584.35,2024-05-24,0.99
RES_0170,PROJ_009,Materials,Insulation,97,73.56,228,16772.09,2024-05-26,1.0
RES_0171,PROJ_015,Labor,Carpenter,2,1.85,241,445.3,2024-05-23,0.99
RES_0172,PROJ_001,Labor,Construction Worker,10,8.4,438,3680.3,2024-05-14,0.96
RES_0173,PROJ_022,Materials,Steel,99,96.6,215,20769.6,2024-06-25,0.84
RES_0174,PROJ_023,Equipment,Bulldozer,3,3.18,516,1638.54,2024-05-22,0.99
RES_0175,PROJ_007,Materials,Concrete,85,89.11,163,14525.41,2024-03-13,0.93
RES_0176,PROJ_020,Labor,Supervisor,12,12.7,156,1980.44,2024-06-11,0.92
RES_0177,PROJ_022,Labor,Supervisor,10,7.66,276,2113.06,2024-06-24,0.82
RES_0178,PROJ_022,Materials,Pipes,34,35.66,190,6774.69,2024-06-29,1.0
RES_0179,PROJ_004,Equipment,Pump,1,0.96,830,799.69,2024-06-30,0.83
RES_0180,PROJ_006,Labor,Supervisor,6,6.59,299,1970.77,2024-03-12,0.93
RES_0181,PROJ_010,Materials,Lumber,63,44.87,238,10679.64,2024-05-16,0.89
RES_0182,PROJ_021,Materials,Steel,33,28.72,238,6834.53,2024-03-18,0.95
RES_0183,PROJ_020,Labor,Construction Worker,10,8.75,245,2144.84,2024-08-12,0.92
RES_0184,PROJ_004,Labor,Engineer,13,11.1,392,4349.63,2024-05-28,0.93
RES_0185,PROJ_015,Equipment,Bulldozer,4,3.45,993,3424.36,2024-07-17,0.93
RES_0186,PROJ_014,Labor,Engineer,6,4.37,442,1929.74,2024-04-08,0.85
RES_0187,PROJ_015,Labor,Construction Worker,3,2.21,233,515.94,2024-05-08,0.88
RES_0188,PROJ_025,Labor,Supervisor,6,4.98,378,1882.61,2024-07-29,0.92
RES_0189,PROJ_004,Equipment,Bulldozer,3,2.63,209,549.76,2024-07-29,0.9
RES_0190,PROJ_010,Labor,Construction Worker,6,4.8,406,1947.55,2024-06-21,0.99
RES_0191,PROJ_025,Labor,Electrician,12,11.93,433,5167.74,2024-09-03,0.89
RES_0192,PROJ_017,Materials,Insulation,70,49.96,157,7843.29,2024-06-23,0.81
RES_0193,PROJ_005,Labor,Plumber,4,3.52,150,528.53,2024-03-06,0.86
RES_0194,PROJ_017,Materials,Insulation,29,31.74,61,1936.44,2024-07-03,0.94
RES_0195,PROJ_002,Equipment,Crane,1,0.93,996,928.32,2024-02-26,0.9
RES_0196,PROJ_018,Materials,Pipes,93,69.78,87,6070.65,2024-05-13,0.83
RES_0197,PROJ_018,Labor,Electrician,19,14.73,157,2312.84,2024-04-06,0.83
RES_0198,PROJ_006,Equipment,Generator,2,1.93,374,721.56,2024-04-12,0.87
RES_0199,PROJ_018,Labor,Construction Worker,9,9.41,175,1647.2,2024-06-13,0.82
