id_projeto,nome_projeto,tipo_projeto,regiao,gerente,data_inicio,duracao_prevista,orcamento,complexidade,data_conclusao_prevista,status,progresso,atraso,data_conclusao_real,custo_adicional_pct,custo_real,satisfacao_cliente,area,eficiencia,qualidade
PROJ-0018,Projeto Infraestrutura 018,Residencial,Norte,Gerente C,2023-01-17,134,815460,Média,2023-05-31,Atrasado,80,32,2023-07-02,15,937778.9999999999,5,265,3538.7886792452828,95
PROJ-0019,Projeto Infraestrutura 019,Infraestrutura,Oeste,Gerente D,2023-01-16,225,984574,Média,2023-08-29,Concluído,100,0,2023-08-29,1,994419.74,10,5870,169.40711073253834,84
PROJ-0020,Projeto Industrial 020,Industrial,Norte,Gerente E,2023-02-17,343,1813796,Alta,2024-01-26,Atrasado,77,51,2024-03-17,19,2158417.2399999998,4,325,6641.283815384615,84
PROJ-0021,Projeto Comercial 021,Industrial,Centro,Gerente F,2023-04-22,143,335365,Média,2023-09-12,Concluído,100,0,2023-09-12,5,352133.25,6,4265,82.56348182883939,82
PROJ-0022,Projeto Residencial 022,Industrial,Oeste,Gerente G,2023-04-30,104,442786,Baixa,2023-08-12,Concluído,100,0,2023-08-12,7,473781.02,7,4512,105.00465868794326,86
PROJ-0023,Projeto Comercial 023,Comercial,Leste,Gerente H,2023-09-16,246,1199188,Média,2024-05-19,Concluído,100,0,2024-05-19,4,1247155.52,8,405,3079.3963456790125,90
PROJ-0024,Projeto Infraestrutura 024,Infraestrutura,Norte,Gerente I,2023-11-05,306,910006,Média,2024-09-06,Concluído,100,0,2024-09-06,9,991906.54,8,9900,100.1925797979798,89
PROJ-0025,Projeto Infraestrutura 025,Comercial,Norte,Gerente J,2023-01-14,278,1958532,Alta,2023-10-19,Concluído,100,0,2023-10-19,1,1978117.32,10,138,14334.18347826087,78
PROJ-0026,Projeto Comercial 026,Comercial,Oeste,Gerente K,2023-10-15,193,300244,Média,2024-04-25,Concluído,100,0,2024-04-25,5,315256.2,6,322,979.0565217391305,93
PROJ-0027,Projeto Comercial 027,Residencial,Leste,Gerente L,2023-04-12,221,1945924,Média,2023-11-19,Atrasado,92,39,2023-12-28,9,2121057.16,4,233,9103.249613733906,92
PROJ-0028,Projeto Comercial 028,Comercial,Leste,Gerente M,2024-01-02,256,1153385,Muito Alta,2024-09-14,Concluído,100,0,2024-09-14,4,1199520.4000000001,9,594,2019.394612794613,94
PROJ-0029,Projeto Infraestrutura 029,Residencial,Centro,Gerente N,2023-11-29,206,263273,Alta,2024-06-22,Concluído,100,0,2024-06-22,0,263273.0,9,220,1196.6954545454546,94
PROJ-0030,Projeto Infraestrutura 030,Residencial,Leste,Gerente O,2023-12-26,128,1857266,Média,2024-05-02,Concluído,100,0,2024-05-02,1,1875838.66,9,227,8263.60643171806,81
PROJ-0031,Projeto Residencial 031,Comercial,Leste,Gerente A,2023-10-07,65,1293104,Baixa,2023-12-11,Concluído,100,0,2023-12-11,7,1383621.28,8,527,2625.4673244781784,82
PROJ-0032,Projeto Residencial 032,Infraestrutura,Leste,Gerente B,2023-08-03,125,1655540,Baixa,2023-12-06,Concluído,100,0,2023-12-06,2,1688650.8,10,6794,248.5503090962614,86
PROJ-0033,Projeto Infraestrutura 033,Infraestrutura,Sul,Gerente C,2023-04-23,181,1598189,Média,2023-10-21,Concluído,100,0,2023-10-21,9,1742026.0100000002,8,7027,247.9046549025189,100
PROJ-0034,Projeto Comercial 034,Infraestrutura,Centro,Gerente D,2023-08-18,180,1187341,Baixa,2024-02-14,Concluído,100,0,2024-02-14,2,1211087.82,10,6257,193.5572670608918,97
PROJ-0035,Projeto Comercial 035,Infraestrutura,Norte,Gerente E,2023-10-29,219,1980114,Baixa,2024-06-04,Atrasado,92,15,2024-06-19,12,2217727.68,5,2469,898.2291130012152,82
PROJ-0036,Projeto Residencial 036,Infraestrutura,Oeste,Gerente F,2023-05-23,253,1464652,Média,2024-01-31,Atrasado,81,29,2024-02-29,6,1552531.12,6,1391,1116.12589503954,89
PROJ-0037,Projeto Infraestrutura 037,Comercial,Norte,Gerente G,2024-02-19,66,1034604,Baixa,2024-04-25,Concluído,100,0,2024-04-25,7,1107026.28,7,474,2335.4984810126584,86
PROJ-0038,Projeto Residencial 038,Comercial,Centro,Gerente H,2024-03-21,297,943523,Alta,2025-01-12,Concluído,100,0,2025-01-12,0,943523.0,9,107,8817.971962616823,78
PROJ-0039,Projeto Residencial 039,Industrial,Oeste,Gerente I,2023-01-04,212,646237,Baixa,2023-08-04,Concluído,100,0,2023-08-04,5,678548.85,7,2233,303.873197492163,96
PROJ-0040,Projeto Industrial 040,Infraestrutura,Centro,Gerente J,2024-01-24,42,1349728,Média,2024-03-06,Concluído,100,0,2024-03-06,7,1444208.9600000002,7,8820,163.74251247165535,90
PROJ-0041,Projeto Industrial 041,Comercial,Leste,Gerente K,2024-02-17,308,1448464,Média,2024-12-21,Concluído,100,0,2024-12-21,2,1477433.28,10,875,1688.495177142857,86
PROJ-0042,Projeto Industrial 042,Industrial,Oeste,Gerente L,2023-03-23,246,800903,Muito Alta,2023-11-24,Concluído,100,0,2023-11-24,7,856966.2100000001,8,4812,178.08940357439735,93
PROJ-0043,Projeto Comercial 043,Infraestrutura,Leste,Gerente M,2023-12-24,315,192193,Baixa,2024-11-03,Atrasado,76,23,2024-11-26,5,201802.65,5,1698,118.84726148409894,93
PROJ-0044,Projeto Infraestrutura 044,Residencial,Norte,Gerente N,2023-08-05,302,1184763,Média,2024-06-02,Concluído,100,0,2024-06-02,8,1279544.04,6,83,15416.193253012048,98
PROJ-0045,Projeto Infraestrutura 045,Industrial,Norte,Gerente O,2023-06-24,91,605950,Muito Alta,2023-09-23,Concluído,100,0,2023-09-23,8,654426.0,7,2674,244.73672400897533,73
PROJ-0046,Projeto Infraestrutura 046,Comercial,Oeste,Gerente A,2023-05-23,113,1286887,Alta,2023-09-13,Concluído,100,0,2023-09-13,4,1338362.48,9,513,2608.893723196881,75
PROJ-0047,Projeto Infraestrutura 047,Residencial,Oeste,Gerente B,2023-03-21,246,1010886,Alta,2023-11-22,Concluído,100,0,2023-11-22,9,1101865.74,8,163,6759.912515337423,79
PROJ-0048,Projeto Industrial 048,Residencial,Centro,Gerente C,2023-04-21,216,900921,Média,2023-11-23,Concluído,100,0,2023-11-23,3,927948.63,9,259,3582.813243243243,86
PROJ-0049,Projeto Comercial 049,Residencial,Centro,Gerente D,2024-01-26,48,608153,Baixa,2024-03-14,Concluído,100,0,2024-03-14,5,638560.65,7,194,3291.5497422680414,92
PROJ-0050,Projeto Comercial 050,Industrial,Leste,Gerente E,2023-06-22,206,1337665,Alta,2024-01-14,Concluído,100,0,2024-01-14,6,1417924.9000000001,8,3919,361.80783363102836,83
PROJ-0051,Projeto Industrial 051,Comercial,Oeste,Gerente F,2023-02-22,129,686165,Muito Alta,2023-07-01,Atrasado,84,29,2023-07-30,9,747919.8500000001,6,402,1860.4971393034828,73
PROJ-0052,Projeto Comercial 052,Residencial,Norte,Gerente G,2023-02-17,262,1584917,Média,2023-11-06,Concluído,100,0,2023-11-06,9,1727559.53,6,281,6147.898683274021,87
PROJ-0053,Projeto Industrial 053,Infraestrutura,Centro,Gerente H,2023-07-14,105,1460642,Média,2023-10-27,Concluído,100,0,2023-10-27,8,1577493.36,6,1486,1061.5702288021535,84
PROJ-0054,Projeto Infraestrutura 054,Residencial,Centro,Gerente I,2023-02-19,294,718362,Média,2023-12-10,Concluído,100,0,2023-12-10,2,732729.24,8,121,6055.613553719008,80
PROJ-0055,Projeto Industrial 055,Residencial,Norte,Gerente J,2023-07-03,313,787409,Alta,2024-05-11,Concluído,100,0,2024-05-11,6,834653.54,8,138,6048.214057971015,73
PROJ-0056,Projeto Infraestrutura 056,Industrial,Centro,Gerente K,2024-03-09,235,661419,Baixa,2024-10-30,Concluído,100,0,2024-10-30,9,720946.7100000001,7,3272,220.33823655256725,82
PROJ-0057,Projeto Infraestrutura 057,Industrial,Leste,Gerente L,2023-06-26,252,740053,Média,2024-03-04,Atrasado,93,38,2024-04-11,14,843660.42,5,3324,253.80879061371843,88
PROJ-0058,Projeto Residencial 058,Comercial,Oeste,Gerente M,2023-11-06,81,960395,Média,2024-01-26,Atrasado,86,18,2024-02-13,15,1104454.25,5,403,2740.5812655086847,87
PROJ-0059,Projeto Industrial 059,Infraestrutura,Norte,Gerente N,2023-05-16,173,1779748,Média,2023-11-05,Atrasado,73,26,2023-12-01,11,1975520.2800000003,4,8625,229.04582956521742,80
PROJ-0060,Projeto Residencial 060,Industrial,Oeste,Gerente O,2024-02-18,98,225917,Média,2024-05-26,Concluído,100,0,2024-05-26,1,228176.17,8,3491,65.36126324835291,85
PROJ-0061,Projeto Industrial 061,Residencial,Centro,Gerente A,2023-01-23,128,910717,Baixa,2023-05-31,Concluído,100,0,2023-05-31,3,938038.51,8,243,3860.240781893004,88
PROJ-0062,Projeto Industrial 062,Comercial,Centro,Gerente B,2024-01-09,54,1448346,Alta,2024-03-03,Concluído,100,0,2024-03-03,1,1462829.46,10,803,1821.7054296388542,76
PROJ-0063,Projeto Residencial 063,Residencial,Norte,Gerente C,2023-08-24,82,798168,Média,2023-11-14,Concluído,100,0,2023-11-14,6,846058.0800000001,6,247,3425.336356275304,83
PROJ-0064,Projeto Residencial 064,Residencial,Leste,Gerente D,2023-10-02,180,581680,Média,2024-03-30,Atrasado,91,51,2024-05-20,6,616580.8,5,112,5505.185714285714,92
PROJ-0065,Projeto Industrial 065,Industrial,Sul,Gerente E,2023-03-05,173,1071375,Baixa,2023-08-25,Concluído,100,0,2023-08-25,0,1071375.0,10,3432,312.1722027972028,96
PROJ-0066,Projeto Comercial 066,Comercial,Norte,Gerente F,2023-07-13,86,381342,Média,2023-10-07,Concluído,100,0,2023-10-07,8,411849.36000000004,7,780,528.0120000000001,81
PROJ-0067,Projeto Infraestrutura 067,Infraestrutura,Sul,Gerente G,2023-02-10,68,639542,Média,2023-04-19,Concluído,100,0,2023-04-19,0,639542.0,9,5708,112.04309740714787,84
PROJ-0068,Projeto Residencial 068,Infraestrutura,Sul,Gerente H,2023-10-10,138,1192814,Baixa,2024-02-25,Concluído,100,0,2024-02-25,7,1276310.98,7,7424,171.9168884698276,91
PROJ-0069,Projeto Infraestrutura 069,Industrial,Leste,Gerente I,2023-05-31,210,101252,Média,2023-12-27,Concluído,100,0,2023-12-27,1,102264.52,10,2832,36.110353107344636,100
PROJ-0070,Projeto Comercial 070,Industrial,Sul,Gerente J,2024-02-29,71,926196,Baixa,2024-05-10,Concluído,100,0,2024-05-10,7,991029.7200000001,7,4028,246.03518371400202,87
PROJ-0071,Projeto Comercial 071,Comercial,Sul,Gerente K,2023-11-18,215,964141,Baixa,2024-06-20,Concluído,100,0,2024-06-20,2,983423.8200000001,8,688,1429.3950872093023,85
PROJ-0072,Projeto Comercial 072,Infraestrutura,Leste,Gerente L,2023-11-13,252,1634026,Muito Alta,2024-07-22,Atrasado,94,51,2024-09-11,20,1960831.2,6,3730,525.6920107238606,77
PROJ-0073,Projeto Residencial 073,Infraestrutura,Sul,Gerente M,2024-03-29,151,415826,Média,2024-08-27,Atrasado,82,57,2024-10-23,10,457408.60000000003,6,988,462.96417004048584,97
PROJ-0074,Projeto Comercial 074,Infraestrutura,Sul,Gerente N,2024-03-17,162,1470214,Alta,2024-08-26,Concluído,100,0,2024-08-26,2,1499618.28,8,7614,196.95538219070136,72
PROJ-0075,Projeto Residencial 075,Residencial,Sul,Gerente O,2023-07-05,192,705605,Média,2024-01-13,Concluído,100,0,2024-01-13,6,747941.3,8,117,6392.660683760684,91
PROJ-0076,Projeto Comercial 076,Infraestrutura,Norte,Gerente A,2023-10-23,244,427359,Alta,2024-06-23,Concluído,100,0,2024-06-23,9,465821.31000000006,8,3673,126.8231173427716,72
PROJ-0077,Projeto Infraestrutura 077,Residencial,Norte,Gerente B,2023-04-09,250,1751451,Alta,2023-12-15,Concluído,100,0,2023-12-15,8,1891567.08,7,287,6590.826062717771,91
PROJ-0078,Projeto Infraestrutura 078,Comercial,Norte,Gerente C,2023-12-27,264,106949,Média,2024-09-16,Concluído,100,0,2024-09-16,1,108018.49,10,743,145.38154777927323,85
PROJ-0079,Projeto Industrial 079,Residencial,Leste,Gerente D,2023-02-05,360,863185,Média,2024-01-31,Concluído,100,0,2024-01-31,4,897712.4,10,151,5945.11523178808,81
PROJ-0080,Projeto Infraestrutura 080,Comercial,Centro,Gerente E,2023-01-24,175,417537,Média,2023-07-18,Concluído,100,0,2023-07-18,5,438413.85000000003,6,118,3715.3716101694918,91
PROJ-0081,Projeto Industrial 081,Infraestrutura,Sul,Gerente F,2023-12-05,268,1877489,Média,2024-08-29,Concluído,100,0,2024-08-29,3,1933813.6700000002,8,4053,477.13142610412046,81
PROJ-0082,Projeto Infraestrutura 082,Infraestrutura,Sul,Gerente G,2023-04-27,105,762301,Muito Alta,2023-08-10,Concluído,100,0,2023-08-10,3,785170.03,9,8261,95.04539765161603,75
PROJ-0083,Projeto Residencial 083,Comercial,Leste,Gerente H,2024-01-31,38,650222,Alta,2024-03-09,Concluído,100,0,2024-03-09,3,669728.66,10,496,1350.2593951612903,86
PROJ-0084,Projeto Infraestrutura 084,Industrial,Sul,Gerente I,2023-05-29,103,880722,Muito Alta,2023-09-09,Atrasado,87,20,2023-09-29,22,1074480.84,5,1200,895.4007,72
PROJ-0085,Projeto Industrial 085,Comercial,Norte,Gerente J,2023-02-10,282,1603678,Baixa,2023-11-19,Atrasado,70,53,2024-01-11,8,1731972.2400000002,3,378,4581.937142857143,81
PROJ-0086,Projeto Industrial 086,Industrial,Centro,Gerente K,2024-03-13,259,1486465,Alta,2024-11-27,Concluído,100,0,2024-11-27,0,1486465.0,10,1050,1415.6809523809525,92
PROJ-0087,Projeto Comercial 087,Residencial,Oeste,Gerente L,2023-04-30,36,576467,Muito Alta,2023-06-05,Atrasado,85,38,2023-07-13,16,668701.72,6,158,4232.289367088608,89
PROJ-0088,Projeto Residencial 088,Residencial,Sul,Gerente M,2024-03-19,203,456600,Baixa,2024-10-08,Concluído,100,0,2024-10-08,5,479430.0,6,124,3866.3709677419356,87
PROJ-0089,Projeto Infraestrutura 089,Residencial,Norte,Gerente N,2023-02-21,170,1464133,Baixa,2023-08-10,Atrasado,82,25,2023-09-04,21,1771600.93,4,178,9952.814213483145,91
PROJ-0090,Projeto Comercial 090,Infraestrutura,Oeste,Gerente O,2023-07-14,197,1074304,Alta,2024-01-27,Atrasado,79,27,2024-02-23,14,1224706.56,3,1867,655.9756614890199,73
PROJ-0091,Projeto Infraestrutura 091,Residencial,Centro,Gerente A,2023-05-23,199,1453038,Média,2023-12-08,Concluído,100,0,2023-12-08,5,1525689.9000000001,8,103,14812.523300970875,84
PROJ-0092,Projeto Infraestrutura 092,Industrial,Oeste,Gerente B,2023-08-21,312,350875,Alta,2024-06-28,Concluído,100,0,2024-06-28,0,350875.0,9,654,536.5061162079511,82
PROJ-0093,Projeto Comercial 093,Residencial,Norte,Gerente C,2023-11-22,151,563389,Baixa,2024-04-21,Concluído,100,0,2024-04-21,5,591558.4500000001,6,138,4286.6554347826095,94
PROJ-0094,Projeto Comercial 094,Comercial,Oeste,Gerente D,2024-03-03,223,170390,Alta,2024-10-12,Concluído,100,0,2024-10-12,9,185725.1,6,824,225.39453883495148,94
PROJ-0095,Projeto Comercial 095,Comercial,Leste,Gerente E,2023-07-06,34,807689,Média,2023-08-09,Concluído,100,0,2023-08-09,7,864227.2300000001,7,754,1146.1899602122016,95
PROJ-0096,Projeto Comercial 096,Infraestrutura,Oeste,Gerente F,2023-03-25,58,353490,Baixa,2023-05-22,Concluído,100,0,2023-05-22,1,357024.9,9,7732,46.17497413347129,89
PROJ-0097,Projeto Comercial 097,Comercial,Sul,Gerente G,2023-07-09,194,1715952,Baixa,2024-01-19,Concluído,100,0,2024-01-19,1,1733111.52,8,175,9903.4944,95
PROJ-0098,Projeto Infraestrutura 098,Industrial,Sul,Gerente H,2023-07-01,165,1396516,Alta,2023-12-13,Atrasado,81,48,2024-01-30,18,1647888.88,5,4289,384.2128421543483,81
PROJ-0099,Projeto Comercial 099,Residencial,Leste,Gerente I,2023-04-18,350,465340,Alta,2024-04-02,Atrasado,71,39,2024-05-11,19,553754.6,6,248,2232.881451612903,86
PROJ-0100,Projeto Residencial 100,Infraestrutura,Norte,Gerente J,2023-12-10,174,533027,Média,2024-06-01,Concluído,100,0,2024-06-01,3,549017.81,8,2690,204.0958401486989,95
PROJ-0101,Projeto Industrial 101,Residencial,Sul,Gerente K,2023-05-17,356,1656617,Média,2024-05-07,Concluído,100,0,2024-05-07,2,1689749.34,9,198,8534.087575757576,91
PROJ-0102,Projeto Comercial 102,Residencial,Centro,Gerente L,2023-12-26,246,1466199,Alta,2024-08-28,Concluído,100,0,2024-08-28,3,1510184.97,8,196,7705.025357142857,77
PROJ-0103,Projeto Comercial 103,Industrial,Sul,Gerente M,2023-12-16,330,1365040,Média,2024-11-10,Concluído,100,0,2024-11-10,6,1446942.4000000001,7,3075,470.55037398373986,99
PROJ-0104,Projeto Infraestrutura 104,Comercial,Sul,Gerente N,2023-11-28,161,1891305,Alta,2024-05-07,Atrasado,92,21,2024-05-28,15,2175000.75,6,704,3089.4897017045455,72
PROJ-0105,Projeto Comercial 105,Comercial,Norte,Gerente O,2023-02-06,321,1659312,Média,2023-12-24,Concluído,100,0,2023-12-24,0,1659312.0,9,572,2900.895104895105,95
PROJ-0106,Projeto Comercial 106,Residencial,Oeste,Gerente A,2023-11-08,99,1954971,Média,2024-02-15,Concluído,100,0,2024-02-15,5,2052719.55,8,210,9774.855,92
PROJ-0107,Projeto Comercial 107,Infraestrutura,Sul,Gerente B,2023-11-22,281,1465843,Média,2024-08-29,Concluído,100,0,2024-08-29,2,1495159.86,9,9427,158.6039949082423,98
PROJ-0108,Projeto Infraestrutura 108,Comercial,Leste,Gerente C,2023-03-29,304,750199,Média,2024-01-27,Concluído,100,0,2024-01-27,9,817716.91,7,596,1372.0082382550336,87
PROJ-0109,Projeto Comercial 109,Infraestrutura,Oeste,Gerente D,2023-10-01,211,323777,Alta,2024-04-29,Concluído,100,0,2024-04-29,6,343203.62,8,6559,52.325601463637746,91
PROJ-0110,Projeto Industrial 110,Comercial,Centro,Gerente E,2024-01-09,196,959909,Média,2024-07-23,Atrasado,72,18,2024-08-10,6,1017503.54,4,201,5062.206666666667,84
PROJ-0111,Projeto Infraestrutura 111,Infraestrutura,Norte,Gerente F,2023-05-06,120,1949396,Média,2023-09-03,Concluído,100,0,2023-09-03,1,1968889.96,10,7510,262.16910252996007,99
PROJ-0112,Projeto Industrial 112,Industrial,Centro,Gerente G,2023-03-25,231,1154145,Alta,2023-11-11,Concluído,100,0,2023-11-11,3,1188769.35,10,3215,369.7571850699845,77
PROJ-0113,Projeto Infraestrutura 113,Infraestrutura,Oeste,Gerente H,2023-08-25,48,694124,Média,2023-10-12,Concluído,100,0,2023-10-12,0,694124.0,9,7617,91.12826572141263,91
PROJ-0114,Projeto Comercial 114,Industrial,Oeste,Gerente I,2023-07-14,68,728861,Média,2023-09-20,Atrasado,79,22,2023-10-12,7,779881.27,4,3089,252.47046617028164,80
PROJ-0115,Projeto Industrial 115,Industrial,Oeste,Gerente J,2023-05-19,155,529802,Muito Alta,2023-10-21,Atrasado,71,34,2023-11-24,17,619868.34,3,1161,533.908992248062,94
PROJ-0116,Projeto Infraestrutura 116,Infraestrutura,Centro,Gerente K,2023-11-24,202,358090,Alta,2024-06-13,Concluído,100,0,2024-06-13,8,386737.2,8,3489,110.84471195184867,90
PROJ-0117,Projeto Residencial 117,Industrial,Oeste,Gerente L,2023-12-19,170,1815951,Baixa,2024-06-06,Concluído,100,0,2024-06-06,6,1924908.06,6,4048,475.5207658102767,99
PROJ-0118,Projeto Comercial 118,Residencial,Centro,Gerente M,2023-10-13,271,1193578,Muito Alta,2024-07-10,Concluído,100,0,2024-07-10,6,1265192.6800000002,7,52,24330.628461538465,75
PROJ-0119,Projeto Infraestrutura 119,Industrial,Oeste,Gerente N,2023-04-23,249,871954,Alta,2023-12-28,Concluído,100,0,2023-12-28,3,898112.62,8,4065,220.93791389913898,91
PROJ-0120,Projeto Residencial 120,Comercial,Leste,Gerente O,2023-12-17,155,761614,Média,2024-05-20,Atrasado,92,43,2024-07-02,6,807310.8400000001,5,427,1890.657704918033,97
PROJ-0121,Projeto Infraestrutura 121,Infraestrutura,Oeste,Gerente A,2023-06-16,87,779574,Baixa,2023-09-11,Concluído,100,0,2023-09-11,3,802961.22,8,3363,238.76337198929525,87
PROJ-0122,Projeto Residencial 122,Residencial,Centro,Gerente B,2024-03-07,177,598870,Alta,2024-08-31,Concluído,100,0,2024-08-31,5,628813.5,8,243,2587.7098765432097,76
PROJ-0123,Projeto Comercial 123,Infraestrutura,Sul,Gerente C,2024-01-29,346,1360367,Alta,2025-01-09,Concluído,100,0,2025-01-09,2,1387574.34,9,1677,827.4146332737031,70
PROJ-0124,Projeto Industrial 124,Comercial,Oeste,Gerente D,2024-02-02,30,302846,Média,2024-03-03,Concluído,100,0,2024-03-03,0,302846.0,9,764,396.3952879581152,100
PROJ-0125,Projeto Residencial 125,Comercial,Sul,Gerente E,2023-01-29,219,1810026,Alta,2023-09-05,Concluído,100,0,2023-09-05,7,1936727.82,8,111,17447.99837837838,85
PROJ-0126,Projeto Infraestrutura 126,Comercial,Leste,Gerente F,2023-04-28,220,766997,Alta,2023-12-04,Atrasado,82,59,2024-02-01,19,912726.4299999999,4,232,3934.165646551724,81
PROJ-0127,Projeto Comercial 127,Industrial,Norte,Gerente G,2024-02-25,341,1826351,Baixa,2025-01-31,Concluído,100,0,2025-01-31,4,1899405.04,9,4599,413.0039225918678,85
PROJ-0128,Projeto Residencial 128,Industrial,Leste,Gerente H,2023-01-17,146,1172647,Média,2023-06-12,Concluído,100,0,2023-06-12,3,1207826.41,9,3564,338.8962991021324,99
PROJ-0129,Projeto Infraestrutura 129,Infraestrutura,Oeste,Gerente I,2024-02-17,163,1731107,Média,2024-07-29,Concluído,100,0,2024-07-29,5,1817662.35,7,8734,208.11339019922144,81
PROJ-0130,Projeto Infraestrutura 130,Infraestrutura,Sul,Gerente J,2023-06-11,87,1128455,Alta,2023-09-06,Concluído,100,0,2023-09-06,2,1151024.1,10,9635,119.46280228334199,83
PROJ-0131,Projeto Infraestrutura 131,Residencial,Sul,Gerente K,2023-07-25,73,1012259,Baixa,2023-10-06,Concluído,100,0,2023-10-06,8,1093239.72,6,136,8038.527352941176,83
PROJ-0132,Projeto Residencial 132,Residencial,Centro,Gerente L,2023-05-18,202,272312,Média,2023-12-06,Concluído,100,0,2023-12-06,4,283204.48,8,119,2379.8695798319327,80
PROJ-0133,Projeto Residencial 133,Infraestrutura,Sul,Gerente M,2023-02-03,189,1405794,Alta,2023-08-11,Atrasado,82,24,2023-09-04,7,1504199.58,4,7070,212.75807355021217,92
PROJ-0134,Projeto Residencial 134,Industrial,Centro,Gerente N,2023-04-19,202,1363455,Alta,2023-11-07,Concluído,100,0,2023-11-07,0,1363455.0,8,1204,1132.437707641196,87
PROJ-0135,Projeto Industrial 135,Comercial,Norte,Gerente O,2024-04-12,346,1512290,Média,2025-03-24,Concluído,100,0,2025-03-24,9,1648396.1,6,120,13736.634166666667,92
PROJ-0136,Projeto Residencial 136,Infraestrutura,Oeste,Gerente A,2023-10-18,332,526650,Alta,2024-09-14,Concluído,100,0,2024-09-14,5,552982.5,7,906,610.3559602649007,71
PROJ-0137,Projeto Residencial 137,Residencial,Centro,Gerente B,2024-03-24,178,431868,Baixa,2024-09-18,Concluído,100,0,2024-09-18,1,436186.68,9,156,2796.0684615384616,88
PROJ-0138,Projeto Residencial 138,Industrial,Norte,Gerente C,2024-01-03,109,1701596,Alta,2024-04-21,Atrasado,87,57,2024-06-17,7,1820707.7200000002,6,1214,1499.7592421746294,90
PROJ-0139,Projeto Industrial 139,Infraestrutura,Sul,Gerente D,2023-06-11,242,1794329,Baixa,2024-02-08,Atrasado,72,48,2024-03-27,21,2171138.09,3,4931,440.303810586088,81
