id_projeto,nome_marco,tipo_marco,data_prevista,data_real,status_marco,atraso_marco
PROJ-0016,Monitoramento - Projeto Residencial 016,Monitoramento,2024-01-09,2024-01-18,Concluído,9
PROJ-0016,Encerramento - Projeto Residencial 016,Encerramento,2024-02-02,2024-02-11,Concluído,9
PROJ-0016,Encerramento - Projeto Residencial 016,Encerramento,2024-02-26,2024-03-04,Concluído,7
PROJ-0017,Iniciação - Projeto Infraestrutura 017,Iniciação,2023-08-05,2023-08-12,Concluído,7
PROJ-0017,Planejamento - Projeto Infraestrutura 017,Planejamento,2023-09-22,2023-09-28,Concluído,6
PROJ-0017,Execução - Projeto Infraestrutura 017,Execução,2023-11-09,2023-11-12,Concluído,3
PROJ-0017,Monitoramento - Projeto Infraestrutura 017,Monitoramento,2023-12-27,2023-12-28,Concluído,1
PROJ-0018,Iniciação - Projeto Infraestrutura 018,Iniciação,2023-01-17,,Atrasado,18
PROJ-0018,Planejamento - Projeto Infraestrutura 018,Planejamento,2023-04-10,2023-04-15,Concluído,5
PROJ-0018,Execução - Projeto Infraestrutura 018,Execução,2023-07-02,2023-07-08,Concluído,6
PROJ-0019,Iniciação - Projeto Infraestrutura 019,Iniciação,2023-01-16,,Atrasado,19
PROJ-0019,Planejamento - Projeto Infraestrutura 019,Planejamento,2023-03-02,2023-03-02,Concluído,0
PROJ-0019,Execução - Projeto Infraestrutura 019,Execução,2023-04-16,,Atrasado,8
PROJ-0019,Monitoramento - Projeto Infraestrutura 019,Monitoramento,2023-05-31,2023-05-31,Concluído,0
PROJ-0019,Encerramento - Projeto Infraestrutura 019,Encerramento,2023-07-15,,Atrasado,17
PROJ-0019,Encerramento - Projeto Infraestrutura 019,Encerramento,2023-08-29,2023-09-03,Concluído,5
PROJ-0020,Iniciação - Projeto Industrial 020,Iniciação,2023-02-17,2023-02-20,Concluído,3
PROJ-0020,Planejamento - Projeto Industrial 020,Planejamento,2023-09-02,2023-09-05,Concluído,3
PROJ-0020,Execução - Projeto Industrial 020,Execução,2024-03-17,,Atrasado,11
PROJ-0021,Iniciação - Projeto Comercial 021,Iniciação,2023-04-22,,Atrasado,9
PROJ-0021,Planejamento - Projeto Comercial 021,Planejamento,2023-05-20,2023-05-26,Concluído,6
PROJ-0021,Execução - Projeto Comercial 021,Execução,2023-06-18,2023-06-20,Concluído,2
PROJ-0021,Monitoramento - Projeto Comercial 021,Monitoramento,2023-07-16,,Atrasado,13
PROJ-0021,Encerramento - Projeto Comercial 021,Encerramento,2023-08-14,2023-08-21,Concluído,7
PROJ-0021,Encerramento - Projeto Comercial 021,Encerramento,2023-09-12,2023-09-15,Concluído,3
PROJ-0022,Iniciação - Projeto Residencial 022,Iniciação,2023-04-30,,Atrasado,19
PROJ-0022,Planejamento - Projeto Residencial 022,Planejamento,2023-06-21,2023-06-29,Concluído,8
PROJ-0022,Execução - Projeto Residencial 022,Execução,2023-08-12,2023-08-13,Concluído,1
PROJ-0023,Iniciação - Projeto Comercial 023,Iniciação,2023-09-16,2023-09-26,Concluído,10
PROJ-0023,Planejamento - Projeto Comercial 023,Planejamento,2024-01-17,2024-01-25,Concluído,8
PROJ-0023,Execução - Projeto Comercial 023,Execução,2024-05-19,,Atrasado,5
PROJ-0024,Iniciação - Projeto Infraestrutura 024,Iniciação,2023-11-05,2023-11-08,Concluído,3
PROJ-0024,Planejamento - Projeto Infraestrutura 024,Planejamento,2024-04-06,,Atrasado,10
PROJ-0024,Execução - Projeto Infraestrutura 024,Execução,2024-09-06,2024-09-12,Concluído,6
PROJ-0025,Iniciação - Projeto Infraestrutura 025,Iniciação,2023-01-14,,Atrasado,20
PROJ-0025,Planejamento - Projeto Infraestrutura 025,Planejamento,2023-03-10,2023-03-13,Concluído,3
PROJ-0025,Execução - Projeto Infraestrutura 025,Execução,2023-05-05,2023-05-11,Concluído,6
PROJ-0025,Monitoramento - Projeto Infraestrutura 025,Monitoramento,2023-06-29,2023-06-29,Concluído,0
PROJ-0025,Encerramento - Projeto Infraestrutura 025,Encerramento,2023-08-24,2023-08-26,Concluído,2
PROJ-0025,Encerramento - Projeto Infraestrutura 025,Encerramento,2023-10-19,2023-10-25,Concluído,6
PROJ-0026,Iniciação - Projeto Comercial 026,Iniciação,2023-10-15,,Atrasado,17
PROJ-0026,Planejamento - Projeto Comercial 026,Planejamento,2024-01-19,2024-01-23,Concluído,4
PROJ-0026,Execução - Projeto Comercial 026,Execução,2024-04-25,2024-05-02,Concluído,7
PROJ-0027,Iniciação - Projeto Comercial 027,Iniciação,2023-04-12,2023-04-18,Concluído,6
PROJ-0027,Planejamento - Projeto Comercial 027,Planejamento,2023-06-16,2023-06-24,Concluído,8
PROJ-0027,Execução - Projeto Comercial 027,Execução,2023-08-20,2023-08-30,Concluído,10
PROJ-0027,Monitoramento - Projeto Comercial 027,Monitoramento,2023-10-24,,Atrasado,20
PROJ-0027,Encerramento - Projeto Comercial 027,Encerramento,2023-12-28,,Atrasado,9
PROJ-0028,Iniciação - Projeto Comercial 028,Iniciação,2024-01-02,,Atrasado,14
PROJ-0028,Planejamento - Projeto Comercial 028,Planejamento,2024-03-27,2024-03-30,Concluído,3
PROJ-0028,Execução - Projeto Comercial 028,Execução,2024-06-20,2024-06-20,Concluído,0
PROJ-0028,Monitoramento - Projeto Comercial 028,Monitoramento,2024-09-14,2024-09-23,Concluído,9
PROJ-0029,Iniciação - Projeto Infraestrutura 029,Iniciação,2023-11-29,2023-12-04,Concluído,5
PROJ-0029,Planejamento - Projeto Infraestrutura 029,Planejamento,2024-03-11,,Atrasado,6
PROJ-0029,Execução - Projeto Infraestrutura 029,Execução,2024-06-22,2024-06-22,Concluído,0
PROJ-0030,Iniciação - Projeto Infraestrutura 030,Iniciação,2023-12-26,2024-01-03,Concluído,8
PROJ-0030,Planejamento - Projeto Infraestrutura 030,Planejamento,2024-01-20,2024-01-28,Concluído,8
PROJ-0030,Execução - Projeto Infraestrutura 030,Execução,2024-02-15,2024-02-17,Concluído,2
PROJ-0030,Monitoramento - Projeto Infraestrutura 030,Monitoramento,2024-03-11,,Atrasado,6
PROJ-0030,Encerramento - Projeto Infraestrutura 030,Encerramento,2024-04-06,2024-04-14,Concluído,8
PROJ-0030,Encerramento - Projeto Infraestrutura 030,Encerramento,2024-05-02,2024-05-03,Concluído,1
PROJ-0031,Iniciação - Projeto Residencial 031,Iniciação,2023-10-07,,Atrasado,7
PROJ-0031,Planejamento - Projeto Residencial 031,Planejamento,2023-10-28,2023-11-06,Concluído,9
PROJ-0031,Execução - Projeto Residencial 031,Execução,2023-11-19,2023-11-20,Concluído,1
PROJ-0031,Monitoramento - Projeto Residencial 031,Monitoramento,2023-12-11,2023-12-21,Concluído,10
PROJ-0032,Iniciação - Projeto Residencial 032,Iniciação,2023-08-03,2023-08-09,Concluído,6
PROJ-0032,Planejamento - Projeto Residencial 032,Planejamento,2023-09-13,2023-09-14,Concluído,1
PROJ-0032,Execução - Projeto Residencial 032,Execução,2023-10-25,,Atrasado,12
PROJ-0032,Monitoramento - Projeto Residencial 032,Monitoramento,2023-12-06,2023-12-15,Concluído,9
PROJ-0033,Iniciação - Projeto Infraestrutura 033,Iniciação,2023-04-23,,Atrasado,7
PROJ-0033,Planejamento - Projeto Infraestrutura 033,Planejamento,2023-07-22,2023-07-28,Concluído,6
PROJ-0033,Execução - Projeto Infraestrutura 033,Execução,2023-10-21,2023-10-31,Concluído,10
PROJ-0034,Iniciação - Projeto Comercial 034,Iniciação,2023-08-18,2023-08-22,Concluído,4
PROJ-0034,Planejamento - Projeto Comercial 034,Planejamento,2023-10-02,2023-10-05,Concluído,3
PROJ-0034,Execução - Projeto Comercial 034,Execução,2023-11-16,2023-11-26,Concluído,10
PROJ-0034,Monitoramento - Projeto Comercial 034,Monitoramento,2023-12-31,,Atrasado,15
PROJ-0034,Encerramento - Projeto Comercial 034,Encerramento,2024-02-14,2024-02-17,Concluído,3
PROJ-0035,Iniciação - Projeto Comercial 035,Iniciação,2023-10-29,2023-11-04,Concluído,6
PROJ-0035,Planejamento - Projeto Comercial 035,Planejamento,2023-12-26,2023-12-28,Concluído,2
PROJ-0035,Execução - Projeto Comercial 035,Execução,2024-02-23,2024-03-04,Concluído,10
PROJ-0035,Monitoramento - Projeto Comercial 035,Monitoramento,2024-04-21,2024-05-01,Concluído,10
PROJ-0035,Encerramento - Projeto Comercial 035,Encerramento,2024-06-19,2024-06-23,Concluído,4
PROJ-0036,Iniciação - Projeto Residencial 036,Iniciação,2023-05-23,2023-05-28,Concluído,5
PROJ-0036,Planejamento - Projeto Residencial 036,Planejamento,2023-07-18,2023-07-19,Concluído,1
PROJ-0036,Execução - Projeto Residencial 036,Execução,2023-09-12,2023-09-12,Concluído,0
PROJ-0036,Monitoramento - Projeto Residencial 036,Monitoramento,2023-11-08,2023-11-15,Concluído,7
PROJ-0036,Encerramento - Projeto Residencial 036,Encerramento,2024-01-03,2024-01-12,Concluído,9
PROJ-0036,Encerramento - Projeto Residencial 036,Encerramento,2024-02-29,2024-03-09,Concluído,9
PROJ-0037,Iniciação - Projeto Infraestrutura 037,Iniciação,2024-02-19,,Atrasado,7
PROJ-0037,Planejamento - Projeto Infraestrutura 037,Planejamento,2024-03-23,2024-03-31,Concluído,8
PROJ-0037,Execução - Projeto Infraestrutura 037,Execução,2024-04-25,2024-04-28,Concluído,3
PROJ-0038,Iniciação - Projeto Residencial 038,Iniciação,2024-03-21,2024-03-23,Concluído,2
PROJ-0038,Planejamento - Projeto Residencial 038,Planejamento,2024-06-03,,Atrasado,16
PROJ-0038,Execução - Projeto Residencial 038,Execução,2024-08-16,2024-08-17,Concluído,1
PROJ-0038,Monitoramento - Projeto Residencial 038,Monitoramento,2024-10-29,2024-11-01,Concluído,3
PROJ-0038,Encerramento - Projeto Residencial 038,Encerramento,2025-01-12,,Atrasado,16
PROJ-0039,Iniciação - Projeto Residencial 039,Iniciação,2023-01-04,2023-01-06,Concluído,2
PROJ-0039,Planejamento - Projeto Residencial 039,Planejamento,2023-02-26,2023-03-05,Concluído,7
PROJ-0039,Execução - Projeto Residencial 039,Execução,2023-04-20,2023-04-28,Concluído,8
PROJ-0039,Monitoramento - Projeto Residencial 039,Monitoramento,2023-06-12,2023-06-16,Concluído,4
PROJ-0039,Encerramento - Projeto Residencial 039,Encerramento,2023-08-04,,Atrasado,5
PROJ-0040,Iniciação - Projeto Industrial 040,Iniciação,2024-01-24,2024-02-03,Concluído,10
PROJ-0040,Planejamento - Projeto Industrial 040,Planejamento,2024-02-03,2024-02-04,Concluído,1
PROJ-0040,Execução - Projeto Industrial 040,Execução,2024-02-14,2024-02-16,Concluído,2
PROJ-0040,Monitoramento - Projeto Industrial 040,Monitoramento,2024-02-24,2024-02-28,Concluído,4
PROJ-0040,Encerramento - Projeto Industrial 040,Encerramento,2024-03-06,2024-03-07,Concluído,1
PROJ-0041,Iniciação - Projeto Industrial 041,Iniciação,2024-02-17,2024-02-25,Concluído,8
PROJ-0041,Planejamento - Projeto Industrial 041,Planejamento,2024-07-20,2024-07-22,Concluído,2
PROJ-0041,Execução - Projeto Industrial 041,Execução,2024-12-21,2024-12-25,Concluído,4
PROJ-0042,Iniciação - Projeto Industrial 042,Iniciação,2023-03-23,2023-04-01,Concluído,9
PROJ-0042,Planejamento - Projeto Industrial 042,Planejamento,2023-05-23,2023-05-26,Concluído,3
PROJ-0042,Execução - Projeto Industrial 042,Execução,2023-07-24,2023-07-29,Concluído,5
PROJ-0042,Monitoramento - Projeto Industrial 042,Monitoramento,2023-09-23,2023-09-26,Concluído,3
PROJ-0042,Encerramento - Projeto Industrial 042,Encerramento,2023-11-24,,Atrasado,13
PROJ-0043,Iniciação - Projeto Comercial 043,Iniciação,2023-12-24,2023-12-28,Concluído,4
PROJ-0043,Planejamento - Projeto Comercial 043,Planejamento,2024-02-29,2024-02-29,Concluído,0
PROJ-0043,Execução - Projeto Comercial 043,Execução,2024-05-07,2024-05-08,Concluído,1
PROJ-0043,Monitoramento - Projeto Comercial 043,Monitoramento,2024-07-13,2024-07-23,Concluído,10
PROJ-0043,Encerramento - Projeto Comercial 043,Encerramento,2024-09-19,2024-09-25,Concluído,6
PROJ-0043,Encerramento - Projeto Comercial 043,Encerramento,2024-11-26,2024-11-30,Concluído,4
PROJ-0044,Iniciação - Projeto Infraestrutura 044,Iniciação,2023-08-05,2023-08-05,Concluído,0
PROJ-0044,Planejamento - Projeto Infraestrutura 044,Planejamento,2024-01-03,2024-01-08,Concluído,5
PROJ-0044,Execução - Projeto Infraestrutura 044,Execução,2024-06-02,2024-06-04,Concluído,2
PROJ-0045,Iniciação - Projeto Infraestrutura 045,Iniciação,2023-06-24,2023-06-26,Concluído,2
PROJ-0045,Planejamento - Projeto Infraestrutura 045,Planejamento,2023-07-16,2023-07-23,Concluído,7
PROJ-0045,Execução - Projeto Infraestrutura 045,Execução,2023-08-08,,Atrasado,18
PROJ-0045,Monitoramento - Projeto Infraestrutura 045,Monitoramento,2023-08-31,2023-09-08,Concluído,8
PROJ-0045,Encerramento - Projeto Infraestrutura 045,Encerramento,2023-09-23,2023-09-23,Concluído,0
PROJ-0046,Iniciação - Projeto Infraestrutura 046,Iniciação,2023-05-23,2023-05-24,Concluído,1
PROJ-0046,Planejamento - Projeto Infraestrutura 046,Planejamento,2023-07-18,,Atrasado,9
PROJ-0046,Execução - Projeto Infraestrutura 046,Execução,2023-09-13,2023-09-21,Concluído,8
PROJ-0047,Iniciação - Projeto Infraestrutura 047,Iniciação,2023-03-21,,Atrasado,16
PROJ-0047,Planejamento - Projeto Infraestrutura 047,Planejamento,2023-07-22,2023-07-31,Concluído,9
PROJ-0047,Execução - Projeto Infraestrutura 047,Execução,2023-11-22,2023-11-30,Concluído,8
PROJ-0048,Iniciação - Projeto Industrial 048,Iniciação,2023-04-21,,Atrasado,18
PROJ-0048,Planejamento - Projeto Industrial 048,Planejamento,2023-07-02,2023-07-04,Concluído,2
PROJ-0048,Execução - Projeto Industrial 048,Execução,2023-09-12,2023-09-12,Concluído,0
PROJ-0048,Monitoramento - Projeto Industrial 048,Monitoramento,2023-11-23,2023-11-27,Concluído,4
PROJ-0049,Iniciação - Projeto Comercial 049,Iniciação,2024-01-26,,Atrasado,6
PROJ-0049,Planejamento - Projeto Comercial 049,Planejamento,2024-02-07,2024-02-12,Concluído,5
PROJ-0049,Execução - Projeto Comercial 049,Execução,2024-02-19,2024-02-22,Concluído,3
PROJ-0049,Monitoramento - Projeto Comercial 049,Monitoramento,2024-03-02,2024-03-12,Concluído,10
PROJ-0049,Encerramento - Projeto Comercial 049,Encerramento,2024-03-14,2024-03-17,Concluído,3
PROJ-0050,Iniciação - Projeto Comercial 050,Iniciação,2023-06-22,2023-06-27,Concluído,5
PROJ-0050,Planejamento - Projeto Comercial 050,Planejamento,2023-10-03,,Atrasado,18
PROJ-0050,Execução - Projeto Comercial 050,Execução,2024-01-14,,Atrasado,9
PROJ-0051,Iniciação - Projeto Industrial 051,Iniciação,2023-02-22,,Atrasado,10
PROJ-0051,Planejamento - Projeto Industrial 051,Planejamento,2023-04-15,2023-04-17,Concluído,2
PROJ-0051,Execução - Projeto Industrial 051,Execução,2023-06-07,2023-06-13,Concluído,6
PROJ-0051,Monitoramento - Projeto Industrial 051,Monitoramento,2023-07-30,2023-07-30,Concluído,0
PROJ-0052,Iniciação - Projeto Comercial 052,Iniciação,2023-02-17,2023-02-22,Concluído,5
PROJ-0052,Planejamento - Projeto Comercial 052,Planejamento,2023-05-15,2023-05-21,Concluído,6
PROJ-0052,Execução - Projeto Comercial 052,Execução,2023-08-10,,Atrasado,12
PROJ-0052,Monitoramento - Projeto Comercial 052,Monitoramento,2023-11-06,2023-11-10,Concluído,4
PROJ-0053,Iniciação - Projeto Industrial 053,Iniciação,2023-07-14,2023-07-15,Concluído,1
PROJ-0053,Planejamento - Projeto Industrial 053,Planejamento,2023-08-18,2023-08-24,Concluído,6
PROJ-0053,Execução - Projeto Industrial 053,Execução,2023-09-22,2023-09-22,Concluído,0
PROJ-0053,Monitoramento - Projeto Industrial 053,Monitoramento,2023-10-27,2023-11-03,Concluído,7
PROJ-0054,Iniciação - Projeto Infraestrutura 054,Iniciação,2023-02-19,2023-02-22,Concluído,3
PROJ-0054,Planejamento - Projeto Infraestrutura 054,Planejamento,2023-05-28,2023-06-04,Concluído,7
PROJ-0054,Execução - Projeto Infraestrutura 054,Execução,2023-09-03,2023-09-08,Concluído,5
PROJ-0054,Monitoramento - Projeto Infraestrutura 054,Monitoramento,2023-12-10,2023-12-14,Concluído,4
PROJ-0055,Iniciação - Projeto Industrial 055,Iniciação,2023-07-03,2023-07-06,Concluído,3
PROJ-0055,Planejamento - Projeto Industrial 055,Planejamento,2023-10-15,2023-10-15,Concluído,0
PROJ-0055,Execução - Projeto Industrial 055,Execução,2024-01-27,2024-02-06,Concluído,10
PROJ-0055,Monitoramento - Projeto Industrial 055,Monitoramento,2024-05-11,2024-05-14,Concluído,3
PROJ-0056,Iniciação - Projeto Infraestrutura 056,Iniciação,2024-03-09,2024-03-14,Concluído,5
PROJ-0056,Planejamento - Projeto Infraestrutura 056,Planejamento,2024-04-25,2024-04-29,Concluído,4
PROJ-0056,Execução - Projeto Infraestrutura 056,Execução,2024-06-11,2024-06-12,Concluído,1
PROJ-0056,Monitoramento - Projeto Infraestrutura 056,Monitoramento,2024-07-28,,Atrasado,13
PROJ-0056,Encerramento - Projeto Infraestrutura 056,Encerramento,2024-09-13,2024-09-18,Concluído,5
PROJ-0056,Encerramento - Projeto Infraestrutura 056,Encerramento,2024-10-30,2024-11-09,Concluído,10
PROJ-0057,Iniciação - Projeto Infraestrutura 057,Iniciação,2023-06-26,2023-07-06,Concluído,10
PROJ-0057,Planejamento - Projeto Infraestrutura 057,Planejamento,2023-08-23,2023-08-31,Concluído,8
PROJ-0057,Execução - Projeto Infraestrutura 057,Execução,2023-10-20,2023-10-25,Concluído,5
PROJ-0057,Monitoramento - Projeto Infraestrutura 057,Monitoramento,2023-12-17,2023-12-17,Concluído,0
PROJ-0057,Encerramento - Projeto Infraestrutura 057,Encerramento,2024-02-13,2024-02-14,Concluído,1
PROJ-0057,Encerramento - Projeto Infraestrutura 057,Encerramento,2024-04-11,2024-04-15,Concluído,4
PROJ-0058,Iniciação - Projeto Residencial 058,Iniciação,2023-11-06,2023-11-15,Concluído,9
PROJ-0058,Planejamento - Projeto Residencial 058,Planejamento,2023-12-09,2023-12-13,Concluído,4
PROJ-0058,Execução - Projeto Residencial 058,Execução,2024-01-11,2024-01-11,Concluído,0
PROJ-0058,Monitoramento - Projeto Residencial 058,Monitoramento,2024-02-13,2024-02-14,Concluído,1
PROJ-0059,Iniciação - Projeto Industrial 059,Iniciação,2023-05-16,2023-05-21,Concluído,5
PROJ-0059,Planejamento - Projeto Industrial 059,Planejamento,2023-06-24,2023-06-29,Concluído,5
PROJ-0059,Execução - Projeto Industrial 059,Execução,2023-08-03,2023-08-09,Concluído,6
PROJ-0059,Monitoramento - Projeto Industrial 059,Monitoramento,2023-09-12,,Atrasado,8
PROJ-0059,Encerramento - Projeto Industrial 059,Encerramento,2023-10-22,2023-10-28,Concluído,6
PROJ-0059,Encerramento - Projeto Industrial 059,Encerramento,2023-12-01,,Atrasado,11
PROJ-0060,Iniciação - Projeto Residencial 060,Iniciação,2024-02-18,2024-02-18,Concluído,0
PROJ-0060,Planejamento - Projeto Residencial 060,Planejamento,2024-03-13,2024-03-19,Concluído,6
PROJ-0060,Execução - Projeto Residencial 060,Execução,2024-04-07,2024-04-07,Concluído,0
PROJ-0060,Monitoramento - Projeto Residencial 060,Monitoramento,2024-05-01,2024-05-09,Concluído,8
PROJ-0060,Encerramento - Projeto Residencial 060,Encerramento,2024-05-26,2024-06-03,Concluído,8
PROJ-0061,Iniciação - Projeto Industrial 061,Iniciação,2023-01-23,2023-01-28,Concluído,5
PROJ-0061,Planejamento - Projeto Industrial 061,Planejamento,2023-03-06,2023-03-12,Concluído,6
PROJ-0061,Execução - Projeto Industrial 061,Execução,2023-04-18,,Atrasado,7
PROJ-0061,Monitoramento - Projeto Industrial 061,Monitoramento,2023-05-31,2023-06-10,Concluído,10
PROJ-0062,Iniciação - Projeto Industrial 062,Iniciação,2024-01-09,2024-01-18,Concluído,9
PROJ-0062,Planejamento - Projeto Industrial 062,Planejamento,2024-01-22,2024-01-27,Concluído,5
PROJ-0062,Execução - Projeto Industrial 062,Execução,2024-02-05,2024-02-15,Concluído,10
PROJ-0062,Monitoramento - Projeto Industrial 062,Monitoramento,2024-02-18,2024-02-19,Concluído,1
PROJ-0062,Encerramento - Projeto Industrial 062,Encerramento,2024-03-03,2024-03-07,Concluído,4
PROJ-0063,Iniciação - Projeto Residencial 063,Iniciação,2023-08-24,2023-09-03,Concluído,10
PROJ-0063,Planejamento - Projeto Residencial 063,Planejamento,2023-09-13,2023-09-19,Concluído,6
PROJ-0063,Execução - Projeto Residencial 063,Execução,2023-10-04,,Atrasado,15
PROJ-0063,Monitoramento - Projeto Residencial 063,Monitoramento,2023-10-24,2023-10-30,Concluído,6
PROJ-0063,Encerramento - Projeto Residencial 063,Encerramento,2023-11-14,2023-11-18,Concluído,4
PROJ-0064,Iniciação - Projeto Residencial 064,Iniciação,2023-10-02,,Atrasado,11
